Pavarde              Vardas              Galutinis
---------------------------------------------------
Pavarde2             Vardas2             7.60
Pavarde3             Vardas3             8.40
Pavarde5             Vardas5             7.20
Pavarde6             Vardas6             5.40
Pavarde7             Vardas7             9.20
Pavarde9             Vardas9             6.00
Pavarde11            Vardas11            5.80
Pavarde13            Vardas13            8.20
Pavarde14            Vardas14            6.60
Pavarde15            Vardas15            8.20
Pavarde17            Vardas17            5.20
Pavarde19            Vardas19            7.00
Pavarde21            Vardas21            5.40
Pavarde26            Vardas26            6.80
Pavarde29            Vardas29            8.20
Pavarde30            Vardas30            6.20
Pavarde31            Vardas31            8.00
Pavarde32            Vardas32            6.20
Pavarde33            Vardas33            6.20
Pavarde34            Vardas34            5.00
Pavarde35            Vardas35            7.00
Pavarde36            Vardas36            7.00
Pavarde37            Vardas37            8.20
Pavarde39            Vardas39            8.20
Pavarde40            Vardas40            5.60
Pavarde42            Vardas42            7.60
Pavarde44            Vardas44            8.00
Pavarde46            Vardas46            6.40
Pavarde47            Vardas47            7.60
Pavarde49            Vardas49            6.00
Pavarde50            Vardas50            5.00
Pavarde55            Vardas55            6.80
Pavarde57            Vardas57            7.80
Pavarde58            Vardas58            5.80
Pavarde59            Vardas59            7.40
Pavarde60            Vardas60            8.40
Pavarde62            Vardas62            5.80
Pavarde63            Vardas63            5.20
Pavarde65            Vardas65            5.40
Pavarde66            Vardas66            7.60
Pavarde69            Vardas69            6.20
Pavarde71            Vardas71            7.20
Pavarde73            Vardas73            5.00
Pavarde75            Vardas75            9.40
Pavarde76            Vardas76            5.60
Pavarde77            Vardas77            8.80
Pavarde78            Vardas78            7.20
Pavarde81            Vardas81            6.00
Pavarde82            Vardas82            6.80
Pavarde83            Vardas83            6.80
Pavarde84            Vardas84            7.00
Pavarde85            Vardas85            5.40
Pavarde88            Vardas88            7.60
Pavarde89            Vardas89            6.00
Pavarde90            Vardas90            8.00
Pavarde91            Vardas91            5.00
Pavarde92            Vardas92            7.20
Pavarde94            Vardas94            7.00
Pavarde95            Vardas95            6.40
Pavarde96            Vardas96            8.00
Pavarde97            Vardas97            6.40
Pavarde98            Vardas98            8.40
Pavarde100           Vardas100           6.80
Pavarde101           Vardas101           7.40
Pavarde103           Vardas103           8.00
